Loan Number,Project No.,Country Name,ISO ALPHA-3 Country Code,ADB Country Code,Country Group,"Country classification, latest ","Country classification, at approval",Department,Project Name,"Modality
(AER)",Mode of financial assistance,ADF or OCR?,Source of funds,"Approved amount 
(USD mil)","Disbursed amount
(USD mil)",Approval date,Approval year,Loan signing,Loan effectivity (original),Loan effectivity (actual),Closing date (estimate),Closing date (actual),"Cofin, app
(USD mil)","Cofin, act
(USD mil)","Proj Cost, app
(USD mil)","Proj Cost, act
(USD mil)",Sector (2009),Subsector (2009),Primary Sector (PCS 2014),Primary Sector (PCS 2014)_3,Primary Subsector (PCS 2014),Secondary Sector (PCS 2014),Secondary Subsector (PCS 2014),RRP circulation date (BOD),PCR circulation date (BOD),PCR overall rating,PCR relevance,PCR effectiveness,PCR efficiency,PCR sustainability,With PVR?,PVR circulation date,PVR overall rating,PVR relevance,PVR effectiveness,PVR efficiency,PVR sustainability,"With PPER/
PPAR?",PPER circulation date (BOD),PPER overall rating,PPER relevance,PPER effectiveness,PPER efficiency,PPER sustainability,Source of latest rating,"AER reporting year
(PCR circ)",Latest overall rating,Latest relevance,Latest effectiveness,Latest efficiency,Latest sustainability
1657,29567,Uzbekistan,UZB,UZB,Central West Asia,B,C,CWRD,ROAD REHABILITATION PROJECT,Project,Project loan,OCR,OCR,50,0.6,15-Dec-98,1998,18-Mar-99,16-Jun-99,21-Apr-99,30-Jun-03,16-Aug-02,,,,,Transport and ICT,Road Transport,Transport,TRA,Road transport (non-urban),„na,„na,24-Nov-98,15-Dec-09,Unsuccessful,Highly relevant,Less than effective,Less than efficient,Unlikely to be sustainable,Yes,6-Dec-10,Unsuccessful,Relevant,Ineffective,Not rated,Not rated,No,NA,NA,NA,NA,NA,NA,PVR,2010,Unsuccessful,Relevant,Ineffective,Not rated,Not rated
1649,28331,Sri Lanka,LKA,SRI,South Asia,B,B1,SARD,ROAD NETWORK IMPROVEMENT PROJECT,Project,Project loan,ADF,ADF,80,94.74,8-Dec-98,1998,28-Jan-99,28-Apr-99,26-Feb-99,30-Jun-05,7-Apr-09,,,,,Transport and ICT,Road Transport,Transport,TRA,Road transport (non-urban),„na,„na,17-Nov-98,16-Dec-09,Successful,Highly relevant,Effective,Efficient,Less than likely sustainable,Yes,3-Aug-10,Successful,Highly relevant,Effective,Efficient,Less than likely sustainable,No,NA,NA,NA,NA,NA,NA,PVR,2010,Successful,Highly relevant,Effective,Efficient,Less than likely sustainable
1637,28161,Maldives,MDV,MLD,South Asia,A,A,SARD,POSTSECONDARY EDUCATION DEVELOPMENT PROJECT,Project,Project loan,ADF,ADF,6.3,6.44,30-Sep-98,1998,19-Feb-99,20-May-99,20-May-99,31-Jul-04,14-May-09,,,,,Education,Tertiary and Higher Education,Education,EDU,Tertiary,„na,„na,9-Sep-98,14-Aug-09,Successful,Highly relevant,Effective,Efficient,Likely sustainable,Yes,3-Dec-10,Successful,Relevant,Effective,Efficient,Likely sustainable,No,NA,NA,NA,NA,NA,NA,PVR,2010,Successful,Relevant,Effective,Efficient,Likely sustainable
1403,23319,Pakistan,PAK,PAK,Central West Asia,B,A,CWRD,FORESTRY SECTOR PROJECT,Project,Project loan,ADF,ADF,42.6,7.41,9-Nov-95,1995,18-Jan-96,17-Apr-96,11-Mar-96,31-Dec-02,22-May-07,,,,,Agriculture and Natural Resources,Forestry,"Agriculture, natural resources and rural development",ANR,Forestry,„na,„na,19-Oct-95,24-Jul-09,Less than successful,Relevant,Less than effective,Less than efficient,Less than likely sustainable,Yes,15-Dec-10,Less than successful,Relevant,Less than effective,Less than efficient,Unlikely to be sustainable,No,NA,NA,NA,NA,NA,NA,PVR,2010,Less than successful,Relevant,Less than effective,Less than efficient,Unlikely to be sustainable
G0197/G0255,43186,Solomon Islands,SLB,SOL,Pacific,A,A,PARD,Economic Recovery Support Program - Subprograms 1 and 2),Program,,ADF,ADF/ADF,10,10,16-Mar-10,2010,18-Mar-10,NA,31-Mar-10,31-Aug-10,19-Mar-12,,,,,Multisector,Multisector,Public sector management,PSM,Public expenditure and fiscal management,TRA,,9-Feb-10,1-Oct-12,Highly successful,Highly relevant,Highly effective,Efficient,Most likely sustainable,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,PCR,2013,Highly successful,Highly relevant,Highly effective,Efficient,Most likely sustainable
G0152,43098,Tajikistan,TJK,TAJ,Central West Asia,A,A,CWRD,Crisis Recovery Support Program,Program,,ADF,ADF,40,40,6-Jul-09,2009,7-Jul-09,5-Oct-09,9-Jul-09,31-Dec-09,17-Jun-10,,,,,Multisector,Multisector,Public sector management,PSM,Public expenditure and fiscal management,,,15-Jun-09,29-Dec-10,Successful,Relevant,Effective,Less than efficient,Likely to be sustainable,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,PCR,2011,Successful,Relevant,Effective,Less than efficient,Likely to be sustainable
G0121,41544,Kyrgyz Republic,KGZ,KGZ,Central West Asia,A,A,CWRD,Investment Climate Improvement Program System Support Project,Project,,ADF,ADF,2.9,2.111,3-Nov-08,2008,24-Nov-08,24-Dec-08,18-Dec-08,31-Dec-10,9-Aug-12,,,,,Multisector,"Economic management, finance sector development,
trade",Finance,FIN,Finance sector development,,,13-Oct-08,10-Jun-13,Less than successful,Relevant,Less than effective,Efficient,Less than likely sustainable,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,PCR,2013,Less than successful,Relevant,Less than effective,Efficient,Less than likely sustainable
G0078,41105-012,Solomon Islands,SLB,SOL,Pacific,A,A,PARD,Emergency Assistance Project,Project,,ADF,ADF,8.95,12.61,27-Jun-07,2007,11-Sep-07,1-Oct-07,1-Oct-07,31-Dec-09,13-Oct-11,,,,,Multisector,Multisector,Transport,TRA,Water transport (non-urban),ANR,,19-Jun-07,25-Oct-11,Successful,Highly relevant,Effective,Highly efficient,Less than likely sustainable,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,PCR,2012,Successful,Highly relevant,Effective,Highly efficient,Less than likely sustainable
G0066,37256,Cambodia,KHM,CAM,Southeast Asia,A,A,SERD,Commune Council Development Project 2,Project,,ADF,ADF,7.8,7.79,12-Dec-06,2006,5-Mar-07,5-Mar-07,1-Jun-07,31-Dec-09,29-Sep-10,,,,,Public Sector Management,Decentralization,Public sector management,PSM,Decentralization,,,21-Nov-06,25-Apr-11,Successful,Highly relevant,Effective,Efficient,Likely to be sustainable,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,PCR,2011,Successful,Highly relevant,Effective,Efficient,Likely to be sustainable
G0018,34382,Cambodia,KHM,CAM,Southeast Asia,A,A,SERD,Tonle Sap Rural Water Supply and Sanitation Sector Project,Project,,ADF,ADF,18,17.93,20-Oct-05,2005,27-Dec-05,2-Feb-06,2-Feb-06,30-Jun-12,31-Jul-10,,,,,Water and Other Municipal Infrastructure and Services,Water Supply and Sanitation,"Agriculture, natural resources and rural development",ANR,Rural water supply services,,,29-Sep-05,21-Dec-11,Less than successful,Highly relevant,Less than effective,Less than efficient,Less than likely sustainable,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,PCR,2012,Less than successful,Highly relevant,Less than effective,Less than efficient,Less than likely sustainable
2667/0084KGZ;2359/0085TAJ,39676,Kyrgyz Republic/Tajikistan,,KGZ/TAJ,Regional,A,A,CWRD,CAREC Regional Road Corridor Improvement Project,Project,Project loan,ADF,ADF,102,101.84,24-Oct-07,2007,31-Oct-07,30-Dec-07,6-Feb-08,30-Sep-13,30-Sep-13,0,0,148,135.59,Transport ,Road transport,Transport,TRA,Road transport (non-urban),„na,„na,31-Aug-10,1-Sep-14,Successful,Highly relevant,Effective,Efficient,Less than likely sustainable,Yes,3-Aug-15,Successful,Relevant,Effective,Efficient,Less than likely sustainable,No,NA,NA,NA,NA,NA,NA,PVR,2015,Successful,Relevant,Effective,Efficient,Less than likely sustainable
2659/2950,43321,Marshall Islands,MHL,RMI,Pacific,A,B,PARD,Public Sector Program„Subprograms 1 and 2 (Marshall Islands),Program,Program loan,ADF,ADF/OCR,14.5,14.87,17-Aug-10,2010,8-Sep-10,28-Sep-10,28-Sep-10,28-Feb-11,28-Feb-11,0,0,14.5,14.87,Public Sector Management,na,Public sector management,PSM,Public expenditure and fiscal management,„na,„na,27-Jul-10,1-Oct-14,Less than successful,Relevant,Less than effective,Less than efficient,Less than likely sustainable,Yes,16-Jul-15,Less than successful,Relevant,Less than effective,Less than efficient,Less than likely sustainable,No,NA,NA,NA,NA,NA,NA,PVR,2015,Less than successful,Relevant,Less than effective,Less than efficient,Less than likely sustainable
2586/2717/2822,41036,India,IND,IND,South Asia,B,B,SARD,"MFF: Second India Infrastructure Project
Financing Facility",Project,,OCR,OCR,,,17-Nov-09,2009,,,,,,,,,,Multisector (financing facility for infrastructure),,Finance,FIN,Infrastructure finance and investment funds,„na,„na,27-Oct-09,30-Sep-14,Successful,Highly relevant,Highly effective,Highly efficient,Likely to be sustainable,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,PCR,2015,Successful,Highly relevant,Highly effective,Highly efficient,Likely to be sustainable
2566/2567/2568/2569,43157,Bangladesh,BGD,BAN,South Asia,B,B,SARD,Public Expenditure Support Facility Program and Countercyclical Support Facility Program,Program,,ADF,ADF/ADF/OCR/OCR,744.85,746.288,13-Oct-09,2009,26-Oct-09,25-Nov-09,6-Nov-09,31-Dec-10,28-Dec-11,,,,,Public Sector Management,Public Expenditure and Fiscal Management,Public sector management,PSM,Public expenditure and fiscal management,FIN,,22-Sep-09,7-Nov-12,Successful,Highly relevant,Effective,Efficient,Likely to be sustainable,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,PCR,2013,Successful,Highly relevant,Effective,Efficient,Likely to be sustainable
2488/2595/2723,40273,Indonesia,IDN,INO,Southeast Asia,C,C,SERD,Fourth Development Policy Support Program,Program,,OCR,,200,200,16-Dec-08,2008,18-Dec-08,18-Mar-09,26-Dec-08,31-Mar-09,26-Dec-08,,,,,Multisector,Multisector,Public sector management,PSM,Public administration,,,25-Nov-08,5-Apr-13,Successful,Relevant,Effective,Efficient,Likely to be sustainable,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,PCR,2013,Successful,Relevant,Effective,Efficient,Likely to be sustainable
2385/2386//2547/2548,41666,Pakistan,PAK,PAK,Central West Asia,B,B1,CWRD,Punjab Government Efficiency Improvement Program,Program,Program loan,ADF,ADF/OCR,408.8,406.9,10-Dec-07,2007,14-Dec-07,13-Jan-08,21-Dec-07,30-Jun-08,12-Feb-08,0,0,326.2,325,Finance,Economic management,Public sector management,PSM,Public administration,„na,„na,26-Oct-07,15-Sep-14,Unsuccessful,Less than relevant,Less than effective,Less than efficient,Unlikely to be sustainable,Yes,21-Jul-15,Unsuccessful,Less than relevant,Less than effective,Less than efficient,Unlikely to be sustainable,No,NA,NA,NA,NA,NA,NA,PVR,2015,Unsuccessful,Less than relevant,Less than effective,Less than efficient,Unlikely to be sustainable
2378/2479/2585/2706,34389,Cambodia,KHM,CAM,Southeast Asia,A,A,SERD,Second Financial Sector Program Cluster (Subprograms 1-4),Program,,ADF,ADF,40.3,40.7,6-Dec-07,2007,18-Feb-08,18-May-08,10-Apr-08,30-Jun-11,30-Jun-11,,,,,Finance,Finance Sector Development,Finance,FIN,Finance sector development,„na,,15-Nov-07,12-Aug-11,Highly successful,Highly relevant,Highly effective,Efficient,Likely to be sustainable,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,PCR,2012,Highly successful,Highly relevant,Highly effective,Efficient,Likely to be sustainable
2377/2707,37577,Viet Nam,VNM,VIE,Southeast Asia,B,B1,SERD,Third Financial Sector Program,Program,Program loan,ADF,ADF,135,137.4,6-Dec-07,2007,10-Jan-08,9-Apr-08,11-Apr-08,30-Jun-09,31-Dec-09,0,0,135,137.4,Finance,Finance sector development,Finance,FIN,Money and capital markets,„na,„na,15-Nov-07,30-Sep-14,Less than successful,Relevant,Less than effective,Less than efficient,Likely sustainable,Yes,10-Sep-15,Less than successful,Relevant,Less than effective,Less than efficient,Likely sustainable,No,NA,NA,NA,NA,NA,NA,PVR,2015,Less than successful,Relevant,Less than effective,Less than efficient,Likely sustainable
2315/2450/ 2545,40538,Philippines,PHL,PHI,Southeast Asia,C,C,SERD,Development Policy Support - SP1,Program,,OCR,OCR,750,750,8-Feb-07,2007,13-Feb-07,14-May-07,21-Feb-07,31-Mar-07,31-Mar-07,,,,,Public Sector Management,Economic and Public Affairs Management,Public sector management,PSM,Economic affairs management,,,18-Jan-07,22-Dec-10,Successful,Relevant,Effective,Efficient,Likely to be sustainable,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,PCR,2011,Successful,Relevant,Effective,Efficient,Likely to be sustainable
2306/0069,32312,Lao People's Democratic Republic,LAO,LAO,Southeast Asia,A,A,SERD,Basic Education Sector Development Program,Program/Project,SDP - Program loan,ADF,ADF,21.56,22.03,20-Dec-06,2006,21-Mar-07,19-Jun-07,29-Oct-07,30-Apr-10,8-Jun-11,0,0,24.73,25.25,Education,,Education,EDU,Secondary,„na,„na,29-Nov-06,1-Oct-14,Highly successful,Highly relevant,Effective,Highly efficient,Most likely sustainable,Yes,15-Dec,Successful,Relevant,Effective,Efficient,Likely sustainable,No,NA,NA,NA,NA,NA,NA,PVR,2015,Successful,Relevant,Effective,Efficient,Likely sustainable
2279/2280,37164,Bhutan,BTN,BHU,South Asia,A,A,SARD,Financial Sector Development Program,Program,,ADF,,,,7-Dec-06,2006,8-Mar-07,6-Jun-07,4-Jun-07,,,,,,,Finance,Finance Sector Development ,Finance,FIN,Finance sector development,„na,„na,14-Nov-06,12-Sep-13,Successful,Relevant,Effective,Efficient,Likely to be sustainable,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,PCR,2014,Successful,Relevant,Effective,Efficient,Likely to be sustainable
2257/ G0054/ G0135/9097,39467,Afghanistan,AFG,AFG,Central West Asia,A,A,CWRD,North_South Corridor Project,Project,,ADF,ADF,140.9,175.133,26-Sep-06,2006,2-Nov-06,31-Jan-07,11-Jan-07,30-Jun-17,,,,,,Transport and ICT,Road Transport ,Transport,TRA,Road transport (non-urban),HLT,,5-Sep-06,18-Sep-13,Successful,Highly relevant,Highly effective,Less than efficient,Less than likely sustainable,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,PCR,2014,Successful,Highly relevant,Highly effective,Less than efficient,Less than likely sustainable
2211/2212,37003,Pakistan,PAK,PAK,Central West Asia,B,B1,CWRD,Rawalpindi Environmental Improvement Project,Project,,ADF,ADF/OCR,60,13.7,13-Dec-05,2005,22-Dec-05,22-Mar-06,27-Feb-06,30-Sep-11,31-Dec-09,,,,,Water and Other Municipal Infrastructure and Services,Urban Sector Development,Water and other urban infrastructure services,WUS,"Urban policy, institutional and capacity development",„na,,22-Nov-05,28-Dec-11,Unsuccessful,Less than relevant,Ineffective,Inefficient,Unsustainable,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,PCR,2012,Unsuccessful,Less than relevant,Ineffective,Inefficient,Unsustainable
2202/2203/2204,37218,Pakistan,PAK,PAK,Central West Asia,B,B1,CWRD,Balochistan Devolved Social Services Program,Program,,ADF,ADF/OCR,200,133.62,8-Dec-05,2005,24-Aug-06,24-Nov-06,16-Nov-06,30-Jun-09,31-Dec-09,,,,,Public Sector Management,Decentralization,Education,EDU,Education sector development,,,11-Nov-05,20-Dec-11,Unsuccessful,Less than relevant,Ineffective,Inefficient,Unsustainable,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,PCR,2012,Unsuccessful,Less than relevant,Ineffective,Inefficient,Unsustainable
2166/G0005,39114,India,IND,IND,South Asia,B,B2,SARD,Tsunami Emergency Assistance Project,Project,,OCR,OCR/ATF,200,198.27,14-Apr-05,2005,12-May-05,10-Aug-05,1-Jun-05,31-Oct-08,23-Feb-10,,,,,Multisector,Multisector,Transport,TRA,Road transport (non-urban),PSM,,7-Apr-05,9-Nov-12,Successful,Highly relevant,Effective,Efficient,Likely to be sustainable,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,PCR,2013,Successful,Highly relevant,Effective,Efficient,Likely to be sustainable
2136/2137,33278,Philippines,PHL,PHI,Southeast Asia,C,C,SERD,Health Sector Development Program,Program/Project,SDP - Program loan,OCR,OCR,213,212.6,15-Dec-04,2004,10-Jan-05,10-Apr-05,12-Jan-05,30-Jun-07,30-Jun-07,21.2,17.3,223.3,217.9,Health,Health systems,Health,HLT,Health sector development and reform,„na,„na,24-Nov-04,13-Aug-14,Successful,Relevant,Effective,Less than efficient,Likely sustainable,Yes,15-Aug,Less than successful,Relevant,Less than effective,Less than efficient,Likely sustainable,No,NA,NA,NA,NA,NA,NA,PVR,2015,Less than successful,Relevant,Less than effective,Less than efficient,Likely sustainable
2130/2131/2132,36168,Sri Lanka,LKA,SRI,South Asia,B,B1,SARD,Fiscal Management Reform Program,Program,,ADF,OCR/ADF/OCR,70,63.613,14-Dec-04,2004,20-Dec-04,21-Mar-05,21-Dec-04,30-Jun-08,9-Oct-14,,,,,Public Sector Management,Public Expenditure and Fiscal Management,Public sector management,PSM,Public expenditure and fiscal management,„na,,23-Nov-04,13-Nov-12,Successful,Relevant,Effective,Efficient,Likely to be sustainable,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,PCR,2013,Successful,Relevant,Effective,Efficient,Likely to be sustainable
2084/2168/2618/0007/0013/0193,"38111, 36601",Sri Lanka,LKA,SRI,South Asia,B,B1,SARD,North East Community Restoration and Development Project,Project,,ADF,ADF,62.77,55.78,14-Apr-05,2005,28-Apr-05,28-Jul-05,28-Jul-05,30-Jun-09,31-Dec-11,,,,,Multisector,Multisector,Health,HLT,Health system development,ANR,,25-May-04,30-Sep-13,Successful,Highly relevant,Effective,Efficient,Likely to be sustainable,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,PCR,2014,Successful,Highly relevant,Effective,Efficient,Likely to be sustainable
2074/2075,34149,Indonesia,IDN,INO,Southeast Asia,C,B2,SERD,Second Decentralized Health Services Project,Project,Project loan,OCR,ADF/OCR,100,84.32,19-Dec-03,2003,16-Dec-04,15-Mar-05,29-Mar-05,31-Dec-10,31-Dec-13,0,0,143,102.93,Health,,Health,HLT,Health system development,„na,„na,28-Nov-03,30-Sep-14,Partly successful,Relevant,Less than effective,Less than efficient,Likely sustainable,Yes,15-Nov,Successful,Relevant,Less than effective,Efficient,Likely sustainable,No,NA,NA,NA,NA,NA,NA,PVR,2015,Successful,Relevant,Less than effective,Efficient,Likely sustainable
2026/2440/G0114,28314,Samoa,WSM,SAM,Pacific,A,A,PARD,Sanitation and Drainage,Project,,ADF,ADF,13.02,13.477,27-Nov-03,2003,1-Jun-04,30-Aug-04,30-Aug-04,30-Jun-09,9-May-11,,,,,Water and Other Municipal Infrastructure and Services,Urban Sector Development,Water and other urban infrastructure services,WUS,Urban sanitation,,,6-Nov-03,29-Jun-12,Successful,Highly relevant,Effective,Efficient,Likely to be sustainable,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,PCR,2012,Successful,Highly relevant,Effective,Efficient,Likely to be sustainable
2022/2023,34380,Cambodia,KHM,CAM,Southeast Asia,A,A,SERD,Agriculture Sector Development Program,Program,,ADF,ADF,29.7,31.04,26-Nov-03,2003,10-Nov-04,9-Feb-05,2-Dec-04,30-Jun-09,30-Jun-10,,,,,Agriculture and Natural Resources,Agricultural Production and Markets,"Agriculture, natural resources and rural development",ANR,"Agro-industry, marketing, and trade",HLT,,5-Nov-03,28-Dec-11,Successful,Highly relevant,Effective,Efficient,Likely to be sustainable,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,PCR,2012,Successful,Highly relevant,Effective,Efficient,Likely to be sustainable
2019/2020,34333,Pakistan,PAK,PAK,Central West Asia,B,B1,CWRD,Balochistan Road Development Sector/ Community Development and Poverty Reduction Project,Project,,ADF,OCR/ADF,186.7,114.088,20-Nov-03,2003,17-Mar-04,15-Jun-04,20-Aug-04,31-Dec-09,31-Aug-10,,,,,Transport and ICT,Road Transport,Transport,TRA,Road transport (non-urban),„na,,30-Oct-03,13-Jun-12,Successful,Highly relevant,Effective,Efficient,Less than likely sustainable,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,PCR,2012,Successful,Highly relevant,Effective,Efficient,Less than likely sustainable
1711/2413,26522,Sri Lanka,LKA,SRI,South Asia,B,B1,SARD,Southern Transport Development Project,Project,Project loan,ADF,ADF/OCR,180,185.97,25-Nov-99,1999,16-Dec-99,16-Mar-00,30-Oct-02,31-Dec-06,25-Feb-11,127.7,497.81,295.9,906.47,Transport ,,Transport,TRA,Road transport (non-urban),„na,„na,3-Nov-99,25-Aug-14,Successful,Relevant,Effective,Efficient,Likely sustainable,Yes,15-Dec,Less than successful,Relevant,Effective,Less than efficient,Less than likely sustainable,No,NA,NA,NA,NA,NA,NA,PVR,2015,Less than successful,Relevant,Effective,Less than efficient,Less than likely sustainable
359,46385-001,Tonga,TON,TON,Pacific,A,,PARD,Strengthening Public Financial Management Program,Program,Program grant,ADF,ADF,4.5,4.5,24-Sep-13,2013,5-Nov-13,5-Feb-14,15-Nov-13,31-Dec-13,24-Jan-14,0,0,4.5,4.5,,,Public sector management,PSM,Economic affairs management,„na,„na,3-Sep-13,22-Aug-14,Successful,Highly relevant,Effective,Efficient,Likely to be sustainable,No,NA,NA,NA,NA,NA,NA,Yes,17-Dec,Less than successful,Less than relevant,Less than effective,Efficient,Less than likely sustainable,PPER,2015,Less than successful,Less than relevant,Less than effective,Efficient,Less than likely sustainable
318,45395-001,Tuvalu,TUV,TUV,Pacific,A,A,PARD,Strengthened Public Financial Management Program,Program,Program grant,ADF,ADF,2.35,2.35,22-Nov-12,2012,17-Dec-12,17-Mar-13,11-Feb-13,31-Dec-13,24-Jan-14,0,0,2.35,2.35,Public Sector Management,Economic and public affairs management,Public sector management,PSM,Public expenditure and fiscal management,„na,„na,31-Oct-12,22-Aug-14,Successful,Relevant,Effective,Efficient,Sustainable,Yes,15-Oct,Successful,Relevant,Effective,Efficient,Likely sustainable,No,NA,NA,NA,NA,NA,NA,PVR,2015,Successful,Relevant,Effective,Efficient,Likely sustainable
158,43127,Mongolia,MNG,MON,East Asia,B,A,EARD,"Education for the Poor„Financial Crisis
Response Project",Project,Project grant,ADF,ADF,17,16.99,18-Sep-09,2009,9-Oct-09,7-Jan-10,9-Dec-09,30-Sep-12,18-Aug-14,0,0,26.36,26.18,Education,"Preprimary and basic education,",Education,EDU,Pre-primary and primary - social protection initiatives ,„na,„na,28-Aug-09,28-Aug-14,Highly successful,Highly relevant,Highly effective,Highly efficient,Likely sustainable,Yes,21-Jul-15,Successful,Relevant,Highly effective,Efficient,Likely sustainable,No,NA,NA,NA,NA,NA,NA,PVR,2015,Successful,Relevant,Highly effective,Efficient,Likely sustainable
0118/0206,36172-042,Nepal,NPL,NEP,South Asia,A,A,SARD,Governance Support Program (Subprogram I),Program,Program grant,ADF,ADF,106.3,106.3,22-Oct-08,2008,15-Dec-08,15-Mar-09,19-Dec-09,30-Jun-13,8-Apr-13,8.8,8.51,375.9,375.61,Public Sector Management,Subnational government administration,Public sector management,PSM,Decentralization,„na,„na,1-Oct-08,14-Aug-14,Successful,Relevant,Effective,Efficient,Likely sustainable,Yes,15-Sep,Successful,Relevant,Effective,Efficient,Likely sustainable,No,NA,NA,NA,NA,NA,NA,PVR,2015,Successful,Relevant,Effective,Efficient,Likely sustainable
0093/0094,40554,Nepal,NPL,NEP,South Asia,A,A,SARD,Rural Reconstruction and Rehabilitation Sector Development Program,Program/Project,Project grant,ADF,ADF,100,93.56,12-Dec-07,2007,14-Jan-08,13-Apr-08,1-Feb-08,31-Dec-11,26-Jan-12,31.5,31.85,161.2,179.85,Multisector (transport +ANR),Agriculture sector development,Transport,TRA,Road transport (non-urban),„na,„na,21-Nov-07,11-Aug-14,Successful,Relevant,Effective,Efficient,Likely sustainable,Yes,15-Sep,Successful,Highly relevant,Effective,Efficient,Less than likely sustainable,No,NA,NA,NA,NA,NA,NA,PVR,2015,Successful,Highly relevant,Effective,Efficient,Less than likely sustainable
0025/0026/0027,"36672, 37604, 38017",Regional,,REG,Regional,REG,REG,SERD,Greater Mekong Subregion Regional Communicable Diseases Control Project,Project,Project grant,ADF,ADF,30,29.47,21-Nov-05,2005,27-Dec-05,27-Mar-06,7-Mar-06,30-Jun-10,17-Oct-12,0,0,38.75,34.39,Health and social protection,Health Programs,Health,HLT,Disease control of communicable disease,„na,„na,31-Oct-05,17-Oct-13,Successful,Highly relevant,Effective,Efficient,Likely sustainable,No,NA,NA,NA,NA,NA,NA,Yes,30-Sep-15,Successful,Relevant,Effective,Efficient,Likely to be sustainable,PPER,2014,Successful,Relevant,Effective,Efficient,Likely to be sustainable
0016/0205,34197-03/34197-04,Lao People's Democratic Republic,LAO,LAO,Southeast Asia,A,A,SERD,Northern and Central Regions Water Supply and Sanitation Sector Project,Project,Project grant,ADF,ADF,16.6,16.46,25-Aug-05,2005,24-Oct-05,24-Jan-06,14-Jun-06,30-Sep-10,16-May-14,10.7,11.39,31.5,33.66,Water and Other Municipal Infrastruture and Services,Water supply and sanitation,Water and other urban infrastructure services,WUS,Urban water supply,TRA,Urban roads and traffic management,4-Aug-05,30-Sep-14,Successful,Relevant,Highly effective,Efficient,Likely sustainable,Yes,11-Aug-15,Successful,Relevant,Highly effective,Efficient,Likely sustainable,No,NA,NA,NA,NA,NA,NA,PVR,2015,Successful,Relevant,Highly effective,Efficient,Likely sustainable
2716,41122,Georgia,GEO,GEO,Central West Asia,B,B,CWRD,Road Corridor Investment Program_Tranche 2,Project,MFF-Tranche (Loan),OCR,OCR,150,0.18,8-Dec-10,2010,24-Mar-11,23-May-11,13-May-11,30-Nov-14,25-Nov-11,0,0,185,8.22,Transport ,Road transport,Transport,TRA,Road transport (non-urban),„na,„na,8-Sep-09,18-Sep-14,Unsuccessful,Relevant,Ineffective,Inefficient,Not rated,Yes,9-Jul-15,Unsuccessful,Less than relevant,Ineffective,Less than efficient,Unlikely to be sustainable,No,NA,NA,NA,NA,NA,NA,PVR,2015,Unsuccessful,Less than relevant,Ineffective,Less than efficient,Unlikely to be sustainable
2575,38385,Indonesia,IDN,INO,Southeast Asia,C,C,SERD,Rural Infrastructure Support to the PNPM Mandiri Project II,Project,Project loan,OCR,OCR,84.24,83.13,12-Nov-09,2009,10-Dec-09,1-Feb-10,1-Feb-10,30-Sep-13,20-Feb-14,0,0,113.48,114.21,Transport ,,Public sector management,PSM,Social protection initiatives,ANR," Irrigation, Rural water supply services",22-Oct-09,25-Sep-14,Successful,Relevant,Effective,Efficient,Likely sustainable,Yes,9-Jul-15,Successful,Relevant,Effective,Efficient,Likely sustainable,No,NA,NA,NA,NA,NA,NA,PVR,2015,Successful,Relevant,Effective,Efficient,Likely sustainable
2563,43317,Indonesia,IDN,INO,Southeast Asia,C,C,SERD,Countercyclical Support,Program,,OCR,OCR,500,500,7-Oct-09,2009,31-Dec-09,14-Feb-10,29-Jan-10,31-Mar-10,31-Mar-10,,,,,Public Sector Management,Economic and Public Affairs Management,Public sector management,PSM,Economic affairs management,„na,,23-Sep-09,12-Aug-11,Successful,Highly relevant,Effective,Efficient,Most likely sustainable,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,PCR,2012,Successful,Highly relevant,Effective,Efficient,Most likely sustainable
